stop_id,stop_code,stop_name,stop_lat,stop_lon
900158,99404,RALPH D ABERNATHY BLVD @ LAUREL AVE,33.745948,-84.440437
900163,99426,BEECHER RD SW@SHIRLEY ST SW,33.733949,-84.453037
900164,99438,RALPH D ABERNATHY BLVD @ W ONTARIO AVE SW,33.745063,-84.439392
900169,99456,BEECHER ST SW@BEECHER CT SW,33.733668,-84.448081
900170,99457,BEECHER ST SW@KENNOLIA DR SW,33.733685,-84.448907
900171,99458,BEECHER ST SW@SHIRLEY ST SW,33.733576,-84.4507
900174,99364,CASCADE AVE SW @ DONNELLY AVE SW,33.737745,-84.435392
900175,99366,CASCADE AVE @ RALPH D ABERNATHY BLVD,33.73874,-84.4336
900177,99378,CASCADE AVE SW@BEECHER ST SW,33.733473,-84.437538
900178,99380,CASCADE AVE SW @ WESTHAVEN DR SW,33.732389,-84.438363
900179,99381,CASCADE AVE SW@RICHLAND RD ,33.731556,-84.439176
900181,99394,CASCADE AVE SW@ CASCADE CIR,33.726519,-84.44532
900182,99396,ANDERSON AVE @ 93,33.75232,-84.445906
